strand_num,strand_set_id,strand_set_num,strand_set,pilfile_path
s1,1210,100,"['b', 'a*', 'b', 'a']",./sim_result_peppercorn_2022-12-19_21_37_41530189/0012_result.pil
s2,3230,236,"['b*', 'a*', 'b*', 'a']",./sim_result_peppercorn_2022-12-19_21_37_41530189/0012_result.pil
s0,0231,45,"['a', 'a*', 'b*', 'b']",./sim_result_peppercorn_2022-12-19_21_37_41530189/0012_result.pil
s0,0001,1,"['a', 'a', 'a', 'b']",./sim_result_peppercorn_2022-12-19_22_25_45350073/0018_result.pil
s2,0023,11,"['a', 'a', 'a*', 'b*']",./sim_result_peppercorn_2022-12-19_22_25_45350073/0018_result.pil
s1,0022,10,"['a', 'a', 'a*', 'a*']",./sim_result_peppercorn_2022-12-19_22_25_45350073/0018_result.pil
s0,0002,2,"['a', 'a', 'a', 'a*']",./sim_result_peppercorn_2022-12-19_22_58_53964091/0014_result.pil
s1,0012,6,"['a', 'a', 'b', 'a*']",./sim_result_peppercorn_2022-12-19_22_58_53964091/0014_result.pil
s3,0020,8,"['a', 'a', 'a*', 'a']",./sim_result_peppercorn_2022-12-19_22_58_53964091/0014_result.pil
s5,0030,12,"['a', 'a', 'b*', 'a']",./sim_result_peppercorn_2022-12-19_22_58_53964091/0014_result.pil
s2,0013,7,"['a', 'a', 'b', 'b*']",./sim_result_peppercorn_2022-12-19_22_58_53964091/0014_result.pil
s4,0022,10,"['a', 'a', 'a*', 'a*']",./sim_result_peppercorn_2022-12-19_22_58_53964091/0014_result.pil
s0,1210,100,"['b', 'a*', 'b', 'a']",./sim_result_peppercorn_2022-12-19_21_38_34557255/0021_result.pil
s1,1233,111,"['b', 'a*', 'b*', 'b*']",./sim_result_peppercorn_2022-12-19_21_38_34557255/0021_result.pil
s2,3030,204,"['b*', 'a', 'b*', 'a']",./sim_result_peppercorn_2022-12-19_21_38_34557255/0021_result.pil
s3,3230,236,"['b*', 'a*', 'b*', 'a']",./sim_result_peppercorn_2022-12-19_21_38_34557255/0021_result.pil
s0,3011,197,"['b*', 'a', 'b', 'b']",./sim_result_peppercorn_2022-12-19_23_25_42003499/0032_result.pil
s2,1303,115,"['b', 'b*', 'a', 'b*']",./sim_result_peppercorn_2022-12-19_23_25_42003499/0032_result.pil
s1,2002,130,"['a*', 'a', 'a', 'a*']",./sim_result_peppercorn_2022-12-19_23_25_42003499/0032_result.pil
s0,0001,1,"['a', 'a', 'a', 'b']",./sim_result_peppercorn_2022-12-19_22_18_56420107/0028_result.pil
s1,0003,3,"['a', 'a', 'a', 'b*']",./sim_result_peppercorn_2022-12-19_22_18_56420107/0028_result.pil
s2,0011,5,"['a', 'a', 'b', 'b']",./sim_result_peppercorn_2022-12-19_22_18_56420107/0028_result.pil
