id,expected_number_of_strands,actual_number_of_strands,potential_energy
0,1,1,-0.9812525
1,1,1,-1.0342505
6,1,1,-0.9953704999999999
7,1,1,-1.018526
8,1,1,-1.0055735
27,1,1,-1.015493
348,2,1,-0.652917
380,2,1,-0.727197
385,2,1,-0.771922
387,2,1,-0.7370614999999999
534,2,1,-0.5374865
595,3,1,-0.7552095
596,3,1,-0.803368
601,3,1,-0.7106414999999999
602,3,1,-0.856587
606,3,1,-0.6905565
609,3,1,-0.792149
623,3,1,-0.91145
626,3,1,-0.8156494999999999
627,3,1,-0.7463145
629,3,1,-0.790161
630,3,1,-0.737794
635,3,1,-0.8600840000000001
645,3,1,-0.80938
646,3,1,-0.805483
650,3,1,-0.781576
3174,3,1,-0.7707705
3218,3,1,-0.8114399999999999
