Node, RMSF(nm) 
1, 2.399827 
2, 2.273951 
3, 2.256525 
4, 2.026799 
5, 2.012430 
6, 1.971100 
7, 1.946684 
8, 1.683534 
9, 1.671761 
10, 1.604120 
11, 2.589810 
12, 2.011198 
13, 1.992646 
14, 1.749949 
15, 1.735258 
16, 1.473106 
17, 1.459866 
18, 1.475187 
19, 1.477167 
20, 1.752977 
21, 2.411552 
22, 1.851322 
23, 1.838004 
24, 1.750756 
25, 1.734432 
26, 1.620645 
27, 1.606886 
28, 1.544646 
29, 1.528480 
30, 1.387324 
31, 1.378282 
32, 1.795795 
33, 2.839022 
34, 2.246120 
35, 2.237536 
36, 1.937469 
37, 1.935175 
38, 1.950457 
39, 1.945730 
40, 1.853689 
41, 1.841828 
42, 1.673432 
43, 1.662158 
44, 1.515336 
45, 1.508754 
46, 1.523464 
47, 1.522736 
48, 1.511757 
49, 1.518471 
50, 2.207846 
51, 2.211785 
52, 2.474555 
53, 2.820969 
54, 2.078907 
55, 2.069588 
56, 2.011198 
57, 2.008607 
58, 1.979393 
59, 1.972917 
60, 1.893151 
61, 1.884990 
62, 1.761547 
63, 1.757118 
64, 1.742892 
65, 1.745585 
66, 1.845367 
67, 1.854600 
68, 2.484142 
69, 5.883476 
70, 3.931021 
71, 3.857774 
72, 2.711708 
73, 2.668258 
74, 2.504555 
75, 2.480077 
76, 2.341829 
77, 2.331718 
78, 2.343028 
79, 2.344267 
80, 2.277463 
81, 2.275145 
82, 2.317233 
83, 2.319044 
84, 2.246072 
85, 2.240786 
86, 2.260946 
87, 2.265662 
88, 2.231008 
89, 2.225606 
90, 2.203578 
91, 2.195830 
92, 2.139730 
93, 2.137436 
94, 2.174785 
95, 2.176218 
96, 2.158747 
97, 2.163573 
98, 2.249664 
99, 2.249939 
100, 2.217120 
101, 2.221200 
102, 2.308085 
103, 2.312634 
104, 2.390548 
105, 2.428453 
106, 3.912009 
107, 3.960455 
108, 5.207280 
109, 6.415776 
110, 5.162521 
111, 5.075281 
112, 4.568696 
113, 4.484739 
114, 3.803312 
115, 3.733917 
116, 3.312905 
117, 3.271574 
118, 3.130050 
119, 3.108900 
120, 3.330214 
121, 3.315267 
122, 2.839402 
123, 2.827726 
124, 2.695166 
125, 2.687656 
126, 2.702672 
127, 2.699819 
128, 2.837420 
129, 2.836393 
130, 2.668714 
131, 2.675745 
132, 2.642064 
133, 2.638780 
134, 2.640334 
135, 2.642467 
136, 2.976292 
137, 2.984869 
138, 2.795601 
139, 2.795679 
140, 2.760342 
141, 2.765327 
142, 2.871392 
143, 2.879430 
144, 3.129060 
145, 3.121718 
146, 2.772240 
147, 2.776130 
148, 2.834389 
149, 2.870236 
150, 3.287885 
151, 3.349765 
152, 3.970059 
153, 4.037791 
154, 4.460453 
155, 4.521363 
156, 5.525611 
157, 1.548605 
158, 1.667384 
159, 1.678313 
160, 1.887520 
161, 1.902255 
162, 1.949337 
163, 1.956033 
164, 1.926685 
165, 1.923513 
166, 1.908057 
167, 1.610699 
168, 1.325799 
169, 1.337191 
170, 1.420212 
171, 1.431106 
172, 1.633591 
173, 1.646874 
174, 1.613564 
175, 1.603118 
176, 1.729821 
177, 1.755371 
178, 2.037422 
179, 1.605011 
180, 1.419636 
181, 1.436879 
182, 1.595986 
183, 1.599018 
184, 1.622876 
185, 1.632492 
186, 1.704615 
187, 1.705916 
188, 1.633349 
189, 1.628196 
190, 1.910094 
191, 2.358166 
192, 1.899736 
193, 1.883640 
194, 1.482689 
195, 1.492292 
196, 1.675093 
197, 1.689095 
198, 1.756489 
199, 1.772092 
200, 1.859575 
201, 1.864689 
202, 1.823740 
203, 1.812829 
204, 1.755667 
205, 1.745015 
206, 1.672835 
207, 1.670120 
208, 2.044549 
209, 2.068705 
210, 2.976824 
211, 2.285864 
212, 1.725100 
213, 1.727838 
214, 1.832864 
215, 1.851380 
216, 2.128727 
217, 2.142871 
218, 2.267490 
219, 2.268990 
220, 2.180154 
221, 2.171397 
222, 1.948102 
223, 1.938736 
224, 1.979070 
225, 1.997443 
226, 2.941211 
227, 5.115895 
228, 3.251323 
229, 3.202558 
230, 2.301786 
231, 2.273454 
232, 2.164695 
233, 2.176318 
234, 2.329774 
235, 2.343765 
236, 2.404539 
237, 2.422301 
238, 2.599655 
239, 2.618327 
240, 2.667569 
241, 2.680103 
242, 2.783109 
243, 2.789600 
244, 2.772035 
245, 2.771050 
246, 2.763985 
247, 2.752089 
248, 2.642749 
249, 2.631566 
250, 2.570621 
251, 2.553714 
252, 2.421429 
253, 2.406983 
254, 2.368201 
255, 2.365776 
256, 2.364111 
257, 2.374115 
258, 2.527514 
259, 2.557333 
260, 2.851597 
261, 2.910390 
262, 4.479761 
263, 4.562916 
264, 6.193964 
265, 5.334459 
266, 3.610131 
267, 3.569168 
268, 2.859107 
269, 2.840624 
270, 2.813571 
271, 2.816259 
272, 3.016150 
273, 3.033284 
274, 3.455155 
275, 3.470031 
276, 3.329575 
277, 3.326917 
278, 3.342600 
279, 3.325144 
280, 2.932539 
281, 2.918426 
282, 3.040905 
283, 3.051010 
284, 3.315146 
285, 3.367196 
286, 4.570122 
287, 4.645665 
288, 6.385618 
289, 1.819979 
290, 1.728916 
291, 1.729000 
292, 1.809602 
293, 1.817113 
294, 1.851274 
295, 1.873711 
296, 2.207613 
297, 2.227200 
298, 2.496107 
299, 1.981308 
300, 1.457986 
301, 1.461785 
302, 1.569561 
303, 1.576650 
304, 1.805637 
305, 1.822499 
306, 2.073851 
